+==============+===============+===========================+
| Launch Clock | Capture Clock | Pin                       |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[670][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[739][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[719][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[934][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[206][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[570][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[617][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[731][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[629][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[507][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[667][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[827][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[586][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[395][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[458][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[850][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[626][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[250][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[402][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[506][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[719][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[890][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[910][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[842][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[727][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[430][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[598][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[503][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[858][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[515][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[610][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[882][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[702][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[570][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[254][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[942][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[978][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[626][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[458][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[448][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[434][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[819][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[586][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[983][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[978][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[942][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[702][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[654][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[510][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[274][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[755][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[494][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[466][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[430][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[723][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[406][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[910][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[902][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[174][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[402][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[610][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[654][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[703][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[607][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[558][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[894][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[598][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[950][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[874][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[515][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[610][3]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[610][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[827][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[438][0]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[910][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[942][4]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[714][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[667][5]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[438][6]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[918][7]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[774][1]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[494][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[438][2]/D  |
| sys_clk_pin  | sys_clk_pin   | U_DMEM/RAM_reg[354][1]/D  |
